# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "../../07_annotation_final_assembly/final_assembly.gff3" "-o" "read_counts.tsv" "-t" "CDS" "-g" "ID" "-M" "-s" "0" "-T" "8" "mapped.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped.dedup.bam
OMCOBO_00307	contig_2	285593	285865	-	273	18
OMCOBO_00308	contig_2	286011	287216	-	1206	135
OMCOBO_00309	contig_2	287809	288030	+	222	0
OMCOBO_00310	contig_2	288020	289387	+	1368	1
OMCOBO_00311	contig_2	289452	290681	+	1230	0
OMCOBO_00312	contig_2	290824	291456	+	633	103
OMCOBO_00313	contig_2	291587	292459	+	873	99
OMCOBO_00314	contig_2	292510	293247	-	738	19
OMCOBO_00315	contig_2	293366	294361	+	996	12
OMCOBO_00316	contig_2	294541	294999	+	459	2
OMCOBO_00317	contig_2	295173	295907	+	735	47
OMCOBO_00318	contig_2	296183	298045	-	1863	26
OMCOBO_00319	contig_2	298437	300758	+	2322	12
OMCOBO_00320	contig_2	301045	302037	-	993	38
OMCOBO_00321	contig_2	303013	303615	+	603	8
OMCOBO_00322	contig_2	303655	304419	+	765	76
OMCOBO_00323	contig_2	304758	306719	-	1962	8
OMCOBO_00324	contig_2	307033	307836	+	804	50
OMCOBO_00325	contig_2	307864	308616	+	753	55
OMCOBO_00326	contig_2	308875	309369	+	495	3
OMCOBO_00327	contig_2	309546	310055	+	510	2
OMCOBO_00328	contig_2	310073	310582	-	510	4
OMCOBO_00329	contig_2	310586	311386	-	801	17
OMCOBO_00330	contig_2	311601	312104	+	504	48
OMCOBO_00331	contig_2	312216	312953	-	738	345
OMCOBO_00332	contig_2	313407	314114	+	708	22
OMCOBO_00333	contig_2	314231	314755	-	525	35
OMCOBO_00334	contig_2	314862	315287	-	426	4
OMCOBO_00335	contig_2	315547	315858	+	312	19
OMCOBO_00336	contig_2	315855	316094	+	240	11
OMCOBO_00337	contig_2	316150	316842	-	693	72
OMCOBO_00338	contig_2	316959	317546	-	588	9
OMCOBO_00339	contig_2	317507	319078	-	1572	1
OMCOBO_00340	contig_2	319082	319759	+	678	25
