# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "../final_assembly.gff3" "-o" "read_counts.tsv" "-t" "CDS" "-g" "ID" "-M" "--fraction" "-s" "0" "-T" "8" "mapped.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped.sorted.bam
OMCOBO_00407	contig_2	385494	386243	-	750	45
OMCOBO_00408	contig_2	387615	389366	+	1752	115
OMCOBO_00409	contig_2	389360	389665	+	306	0
OMCOBO_00410	contig_2	389680	390432	+	753	39
OMCOBO_00411	contig_2	390429	391631	+	1203	110
OMCOBO_00412	contig_2	391661	392638	+	978	172
OMCOBO_00413	contig_2	392900	393106	+	207	104
OMCOBO_00414	contig_2	393232	393486	-	255	47
OMCOBO_00415	contig_2	393602	394300	-	699	1028
OMCOBO_00416	contig_2	394847	395149	+	303	23
OMCOBO_00417	contig_2	395804	396844	-	1041	164
OMCOBO_00418	contig_2	397637	399043	-	1407	56
OMCOBO_00419	contig_2	399040	406437	-	7398	186
OMCOBO_00420	contig_2	406881	407801	-	921	39
OMCOBO_00421	contig_2	408375	409265	+	891	0
OMCOBO_00422	contig_2	409228	409635	-	408	0
OMCOBO_00423	contig_2	409931	412123	+	2193	82
OMCOBO_00424	contig_2	412602	412760	+	159	10
OMCOBO_00425	contig_2	412855	413487	-	633	17
OMCOBO_00426	contig_2	413517	413678	-	162	17
OMCOBO_00427	contig_2	413797	414756	-	960	236
OMCOBO_00428	contig_2	414827	416113	+	1287	29
OMCOBO_00429	contig_2	416124	417545	+	1422	0
OMCOBO_00430	contig_2	417610	418635	+	1026	14
OMCOBO_00431	contig_2	419077	419904	-	828	10
OMCOBO_00432	contig_2	420068	420625	-	558	89
OMCOBO_00433	contig_2	421791	421988	-	198	298
OMCOBO_00434	contig_2	421985	422257	-	273	359
OMCOBO_00435	contig_2	422739	422918	-	180	0
OMCOBO_00437	contig_2	424807	425133	+	327	79
OMCOBO_00438	contig_2	425227	427773	-	2547	356
OMCOBO_00439	contig_2	427827	428681	-	855	355
OMCOBO_00440	contig_2	428947	429273	-	327	3
OMCOBO_00441	contig_2	430264	431601	-	1338	57
OMCOBO_00442	contig_2	431654	431863	-	210	0
OMCOBO_00443	contig_2	431946	442373	-	10428	1133
OMCOBO_00444	contig_2	442370	450217	-	7848	190
OMCOBO_00445	contig_2	450341	450541	+	201	0
OMCOBO_00446	contig_2	450787	453507	-	2721	1170
OMCOBO_00447	contig_2	453691	456423	-	2733	134
OMCOBO_00448	contig_2	457468	458391	-	924	54
OMCOBO_00449	contig_2	458495	459049	+	555	161
OMCOBO_00450	contig_2	459219	459599	+	381	125
OMCOBO_00451	contig_2	460454	460567	-	114	0
OMCOBO_00452	contig_2	460810	461040	+	231	65
OMCOBO_00453	contig_2	461101	462081	-	981	1501
OMCOBO_00454	contig_2	462362	463780	+	1419	9
OMCOBO_00455	contig_2	463777	464262	+	486	21
OMCOBO_00456	contig_2	464505	465203	+	699	908
OMCOBO_00457	contig_2	465616	466215	-	600	866
OMCOBO_00458	contig_2	466300	467232	+	933	48
OMCOBO_00459	contig_2	467606	468316	+	711	46
OMCOBO_00460	contig_2	468686	469126	-	441	4
OMCOBO_00461	contig_2	469158	469889	-	732	79
OMCOBO_00462	contig_2	470162	471838	+	1677	578
OMCOBO_00463	contig_2	471835	473316	+	1482	261
OMCOBO_00464	contig_2	473313	473666	+	354	98
